dex	species	form	gender	palette	atlas	runtime_strip	scale_class	height_dm	file_sha256	rgba_sha256	runtime_content_width	runtime_content_height	motion_profile
048	venonat	00	none	normal	assets/pokemon-walksheets/dex-048__species-venonat__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-048__species-venonat__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	10	e30c34659f7c7fda5b735cc6c77d41bed86ba8f075aeb3684b2d93ff89139798	525f60ef0745ac3642c6b9bc4975444fb6c1eddb1db9a5deec71f2164ddc9ddb	12	16	terrestrial-biped-light-v1
049	venomoth	00	none	normal	assets/pokemon-walksheets/dex-049__species-venomoth__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-049__species-venomoth__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	15	ee59a974008cd71ee378073caff880ca40400e675bf73e0eea49504ad7c529e7	df5c2d01bbbcd8f8e864bb78007f170c21d86a1d84ca6aaf4ac202790e4c499e	15	16	airborne-wing-flap-v1
050	diglett	00	none	normal	assets/pokemon-walksheets/dex-050__species-diglett__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-050__species-diglett__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	2	51a8f078429a191b5de144e8d7f1109a866f069c7c99b0cc9f7d9694ec7195b9	9c534efa4c00cd6f71ca19e0e8554451f0c6c7568e53821005e953d68ea8becd	15	12	rooted-or-cocoon-sway-v1
051	dugtrio	00	none	normal	assets/pokemon-walksheets/dex-051__species-dugtrio__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-051__species-dugtrio__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	7	f45fdb892671a9edb525f689d33f2f72bb8e6e011001107b5602d8262d858b22	522db9b4700b323743e4e324db9911b27860135054a5289078bb0512c2e8bf49	15	12	rooted-or-cocoon-sway-v1
052	meowth	00	none	normal	assets/pokemon-walksheets/dex-052__species-meowth__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-052__species-meowth__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	4	8c1f103b4911c3e4fd157d01a15fb98c1aa8a7906e82d12a914fa9173708d915	7edf8087138368bd97926533e78d5e3cde4b9a2ba2dfaba5e084dd1e1d3578fb	13	16	terrestrial-biped-light-v1
053	persian	00	none	normal	assets/pokemon-walksheets/dex-053__species-persian__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-053__species-persian__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	10	05a02adb3fc409e52d2e485e0a6b64f2fb92f74df75e13f39481d3efdd23c334	9559e71e5d95c7abde95a27bae703fe44a28ca2365d9bef393938e4c09977922	15	16	terrestrial-quadruped-light-v1
054	psyduck	00	none	normal	assets/pokemon-walksheets/dex-054__species-psyduck__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-054__species-psyduck__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	8	184caee7baf496827dd0c5bf4cadb2be8c575b64f191a4774deeccf4f0561a19	6b3cf11930ef513059e787100f3f759a108fc0ff430ecccc36989ab8015693b4	15	16	terrestrial-biped-light-v1
055	golduck	00	none	normal	assets/pokemon-walksheets/dex-055__species-golduck__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-055__species-golduck__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	17	c16fdd6ee21e7f4599eff042d0834fdbaf273bf69b483a51e6c9c65d5ab97c03	d856935520f56f7e7aba8a9899a66ce17e87eccb50042583c8f7abecf50ac489	15	16	terrestrial-biped-light-v1
056	mankey	00	none	normal	assets/pokemon-walksheets/dex-056__species-mankey__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-056__species-mankey__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	5	81be50f3a7d3b1dc02b589358842111320b12fb22174b17ed5bfee871c47b5e2	7cf31b698ef2fd66a2fa7b83f6b5218565035c58b929406f0ebd741e56a72601	15	16	terrestrial-biped-light-v1
057	primeape	00	none	normal	assets/pokemon-walksheets/dex-057__species-primeape__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-057__species-primeape__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	10	269d3f524bdadfdb0e9570b33aad2eb27dcb6c78a597c1a89890b5ce8b895d54	70c58b51d93d51bcea965cc8df0173a0481259ce82490b3dd4c3c844b54c9c51	15	16	terrestrial-biped-light-v1
058	growlithe	00	none	normal	assets/pokemon-walksheets/dex-058__species-growlithe__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-058__species-growlithe__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	7	0ddc2ae1cfd3fc1772c6c2e1c269c01e0093e9934c3dadaaf0587b0b9418c247	2b73a37e523f205fe21a7ee16c4e4c42a37c5006272d053d0193ac76d6ff2612	15	16	terrestrial-quadruped-light-v1
059	arcanine	00	none	normal	assets/pokemon-walksheets/dex-059__species-arcanine__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-059__species-arcanine__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	19	6033750efbb2945c114376d104a46604b4b3ba020d3965ba34498f722748d634	160ed9ef678a9b3ce5f83fea894ffe558ad874c9ae9bd27c29ad7469f6a7114c	15	16	terrestrial-quadruped-heavy-v1
060	poliwag	00	none	normal	assets/pokemon-walksheets/dex-060__species-poliwag__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-060__species-poliwag__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	6	b6f1ac61ce3c10901fc9462ad61c5f0dfeb98fb52d9ce542ffed981ba8992bae	8b1b0ade2ef962122d8b630214ac93acb8d1e318b7373d57d4daed5d73744698	15	15	terrestrial-biped-light-v1
061	poliwhirl	00	none	normal	assets/pokemon-walksheets/dex-061__species-poliwhirl__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-061__species-poliwhirl__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	10	de6e6bee3bd8488bab1bdad205a7118156b937f91a41f1674079eb8282a6128a	fae1b1e335e7c134523e8dc4d1bbb94b9b6c44e609aed63cf64b4ea60c04ea1e	15	16	terrestrial-biped-light-v1
062	poliwrath	00	none	normal	assets/pokemon-walksheets/dex-062__species-poliwrath__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-062__species-poliwrath__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	13	4b7b3e24614d6a883a77d56283cec73d83ce9f72b5943993240bca8f778fc8ff	79f2ab3be8b855a4ae21c036b293de8692cf8751e431b7fef548e8ef951c7f37	15	16	terrestrial-biped-heavy-v1
063	abra	00	none	normal	assets/pokemon-walksheets/dex-063__species-abra__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-063__species-abra__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	9	7def01867a1d9bcbca539ce29df11c37bc17372db48d7853f6c94898675f8ba8	e557f3ec943bbda00379b0f424dbddc8d1527f6d283867371db2bd66b5d20826	15	15	terrestrial-biped-light-v1
064	kadabra	00	female	normal	assets/pokemon-walksheets/dex-064__species-kadabra__form-00__gender-female__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-064__species-kadabra__form-00__gender-female__palette-normal__walk-3x4.png	pokemon_medium	13	3b3f4fb626d11e2503ede07abc07d3cb5ab8da28e5027270c6e302405eb253dc	12795fc8928508aed890ad2264de6a2cbacf10fa9c9cd4e8e3b14cf2dfbd873c	15	16	terrestrial-biped-light-v1
064	kadabra	00	male	normal	assets/pokemon-walksheets/dex-064__species-kadabra__form-00__gender-male__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-064__species-kadabra__form-00__gender-male__palette-normal__walk-3x4.png	pokemon_medium	13	e4a63e32c1270ceceffefb1378e043b2e0764d2ab63cfe4ab225040ba2917473	47c55f2e21c518b1a3525f90a4f0ace60e8a18cf612eb0b80c9f573c87a163a4	15	16	terrestrial-biped-light-v1
065	alakazam	00	female	normal	assets/pokemon-walksheets/dex-065__species-alakazam__form-00__gender-female__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-065__species-alakazam__form-00__gender-female__palette-normal__walk-3x4.png	pokemon_large	15	e5f4bb450f3d13dba7aff07e565243f74ead8e3481e379490fdb1a1ad0d8bb3b	8122face0fc9755f593d93ac531ff555e083ccc30c974756d621b1b09c027d88	15	16	terrestrial-biped-light-v1
065	alakazam	00	male	normal	assets/pokemon-walksheets/dex-065__species-alakazam__form-00__gender-male__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-065__species-alakazam__form-00__gender-male__palette-normal__walk-3x4.png	pokemon_large	15	1b07615b4d669576487dcf1623d5dc41eed52f42c42122d6ac897374f070151a	65806cc746c6583f978b83a9168bc8eb13564cceb7aa6e48dd859a61f1051d90	15	16	terrestrial-biped-light-v1
066	machop	00	none	normal	assets/pokemon-walksheets/dex-066__species-machop__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-066__species-machop__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	8	343a87f3a188e713124bdae7a1aff6dee0f15f9b2195d6c794143180d4334427	727c404c9092f4ce2d45ccbe76d9d40cfeaeff02734a746196d4db4afbc1edc8	11	16	terrestrial-biped-light-v1
067	machoke	00	none	normal	assets/pokemon-walksheets/dex-067__species-machoke__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-067__species-machoke__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	15	0c442f36c029c4054cfeb007e4dfd4ebffc666cd0ea7d8c5dabac42e031cf08b	448a54ad2bea32adaeb2a1a1158057fbf9f0c64f9b5c95e9c7ca2b04eca988da	14	16	terrestrial-biped-heavy-v1
068	machamp	00	none	normal	assets/pokemon-walksheets/dex-068__species-machamp__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-068__species-machamp__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	16	4583824e6674f945edf5753f5a3737d4a7418fed34f6123ebfd027de9a203832	5d4a6286d572121caea6c2c8441f40289333bfd8be07b605fadd257a91516551	14	16	terrestrial-biped-heavy-v1
069	bellsprout	00	none	normal	assets/pokemon-walksheets/dex-069__species-bellsprout__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-069__species-bellsprout__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	7	6b78b80e3f18bc3f126609be90095e3266b2d6cf084e8a545f3cd7d0db4f7f4e	53e029263cf83f51ea577de6f45a0e13594d5fd5309e2189e63fa8a141b1fdf0	15	16	terrestrial-biped-light-v1
070	weepinbell	00	none	normal	assets/pokemon-walksheets/dex-070__species-weepinbell__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-070__species-weepinbell__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	10	f3fc33d9416454eb9710e2b3366ca5eeae4c1a3e1e227e804194769cab9b42be	22e5751360ea9c23ed8a0d5345b9ec1f346892d1e33f9800d32abc98e067b5b1	15	16	rooted-or-cocoon-sway-v1
071	victreebel	00	none	normal	assets/pokemon-walksheets/dex-071__species-victreebel__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-071__species-victreebel__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	17	1846851a6423f2039e8dda869008580e8755b5e945d881f09b0caf009646ffd3	75cc60ff9a24863c2c603303009c3748b0a4ef9ff5c2c0db1950badf79d46296	15	16	rooted-or-cocoon-sway-v1
072	tentacool	00	none	normal	assets/pokemon-walksheets/dex-072__species-tentacool__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-072__species-tentacool__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	9	d82367baa882160d2b864c277cae717bb077ffe6cf6797201c3518bdb41b35f3	e7f5f2ee945cde979d3c6fc7cbac66bafb80d298ee281b218dc035736576bae4	8	16	aquatic-fin-swim-v1
073	tentacruel	00	none	normal	assets/pokemon-walksheets/dex-073__species-tentacruel__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-073__species-tentacruel__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	16	ede764bebffb892a21882b49d54a7d8cf445fbe99eb8f9a8a01f9148f6a65bc4	949c05c5cd2773ea95ee5a75cf4856f0634608a1137b8542e1e218614ac09321	13	16	aquatic-fin-swim-v1
074	geodude	00	none	normal	assets/pokemon-walksheets/dex-074__species-geodude__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-074__species-geodude__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	4	867bddc766aac9d33513c828e785909eb14934bf56ed6ea756d78038300c1c11	756b9e7b2d98d5de7079de83bb0cecc307e30046ec4edbd47b31edda1dbeb8a3	15	11	ground-arm-assisted-v1
075	graveler	00	none	normal	assets/pokemon-walksheets/dex-075__species-graveler__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-075__species-graveler__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	10	6a63dbabed90ac89f0b28df3ddede5a3170c82938a8a0c4a590da34ba7f35fad	ba37877405613331f128a4eac030555adbf05553b3101b35a72a9237edaf4660	15	14	ground-arm-assisted-v1
076	golem	00	none	normal	assets/pokemon-walksheets/dex-076__species-golem__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-076__species-golem__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	14	fb56fa46b6316c5dad8676266f98aa63335e92d5c295f68cd556fbf0eec884ad	1b56005ef8077bbceaf268e70e5f8114538a1461f982257dab67c85a64b498ea	15	15	ground-arm-assisted-v1
076	golem	00	none	shiny	assets/pokemon-walksheets/dex-076__species-golem__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime/dex-076__species-golem__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_medium	14	5a64bb9e238fcfdc4e81628a1fa85ac651f3d402fd1080f415c5792b6b2a9139	114f57a299363a267e65b63211f9012d4515bda6dc220977f6ae46cc972fcb77	15	15	ground-arm-assisted-v1
077	ponyta	00	none	normal	assets/pokemon-walksheets/dex-077__species-ponyta__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-077__species-ponyta__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	10	5671eab63487a7b95a00f81fb2a26164364fe32b8d9ee4a05f629f1c5b951d7e	1441893d1211166a09ecd99e5df7e707eb908149bfff8668df93f1d8ce2e97ae	15	16	terrestrial-quadruped-light-v1
078	rapidash	00	none	normal	assets/pokemon-walksheets/dex-078__species-rapidash__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-078__species-rapidash__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	17	e8e375054ffdc732e4f433e94cae70c4653768eb0838dfbf4a463d78e2402b1c	69a928484d96179ae24f14fcc30f058711b535e558417fa2423930aefd97fc84	15	16	terrestrial-quadruped-light-v1
078	rapidash	00	none	shiny	assets/pokemon-walksheets/dex-078__species-rapidash__form-00__gender-none__palette-shiny__walk-3x4.png	assets/pokemon-runtime/dex-078__species-rapidash__form-00__gender-none__palette-shiny__walk-3x4.png	pokemon_large	17	25fce73137b429cf34913fb6dcdc089744b5610749c8cc24fcb6ed24295e18c8	3e60644ac72339d660dce5051d0c0b13602f4c55ce75f5789453b60ecc15115f	15	16	terrestrial-quadruped-light-v1
079	slowpoke	00	none	normal	assets/pokemon-walksheets/dex-079__species-slowpoke__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-079__species-slowpoke__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	12	7a52ddbcbad083cf2798bf3bd847995fef45122fafa9f163ab4379a971144a71	fc5d057682521bcccdabbde8aaeacf612c4e2fe436f18477577259723a43c8c5	15	16	terrestrial-quadruped-heavy-v1
080	slowbro	00	none	normal	assets/pokemon-walksheets/dex-080__species-slowbro__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-080__species-slowbro__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	16	beededf693e870878076fa8c18e4d1b66580c5ef52fffe8290fd5ff940e9f82f	6872fdcca3bb96ed4cf250b931517a883bc680ce5713bb27009527b2d1a831c6	15	13	terrestrial-biped-heavy-v1
081	magnemite	00	none	normal	assets/pokemon-walksheets/dex-081__species-magnemite__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-081__species-magnemite__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	3	d6cd2a9a6ededeeffea323c2a8c1cfc8e205aceac61416a7419935b69f505c45	0c822efade7538199ea543c6b2488cccac6501ae370dfc698f6825c567e5840b	15	16	airborne-hover-bob-v1
082	magneton	00	none	normal	assets/pokemon-walksheets/dex-082__species-magneton__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-082__species-magneton__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	10	692b9d6253cf4dc13528d10c9a789c89632818cd8483cb90007ee6fbe5009fad	0c05e45ccb9559a499fcc202b49264c95cfb8b613be40b44906776b4ea067f1b	15	16	airborne-hover-bob-v1
083	farfetchd	00	none	normal	assets/pokemon-walksheets/dex-083__species-farfetchd__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-083__species-farfetchd__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	8	568f0f240577c3f75a5b6fc21ce0257112a6f8bad14d8cfa1982b76db04c0ab7	db04eda630417d548cb8fa0951edc4d1d008a1d15c11408040ad91d8489e1837	15	16	terrestrial-biped-light-v1
084	doduo	00	none	normal	assets/pokemon-walksheets/dex-084__species-doduo__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-084__species-doduo__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	14	253ee03bb9092d45f9286bcd1243f23eb5b7f6ed342f3f90366c49c23f681ef4	c95ea8208f9cda941b2c42b2521ee2d1f12324739bab9ff0b85e8348b9a3702b	8	16	terrestrial-biped-light-v1
085	dodrio	00	female	normal	assets/pokemon-walksheets/dex-085__species-dodrio__form-00__gender-female__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-085__species-dodrio__form-00__gender-female__palette-normal__walk-3x4.png	pokemon_large	18	f2f64731088687e57e941830db198a53bacfcdbe7af3676a1178757a6205800f	618403ed7d06ce7e5c6013a934a9f623f1cd6e2fa2fcdaa6c01e92cf65666d04	14	16	terrestrial-biped-light-v1
085	dodrio	00	male	normal	assets/pokemon-walksheets/dex-085__species-dodrio__form-00__gender-male__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-085__species-dodrio__form-00__gender-male__palette-normal__walk-3x4.png	pokemon_large	18	42df3fda689f186b9c23f07479780e85b71d99da548e39e67034b988795d5866	b5ed91492afa7aac3dcfca06544ae72bed3839d68d8182908b353bf7559d0a0b	14	16	terrestrial-biped-light-v1
086	seel	00	none	normal	assets/pokemon-walksheets/dex-086__species-seel__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-086__species-seel__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	11	72e379bac32da67adfab9f48db4ca1483539bea36f4b7248af58a8c034171c8a	c77dd19519c50141fdb09c1be004275356b1b4cbfba1c38915843e02849b3979	15	11	aquatic-paddle-bob-v1
087	dewgong	00	none	normal	assets/pokemon-walksheets/dex-087__species-dewgong__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-087__species-dewgong__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	17	688f8fcb8b6941064df6331aebfb58b51c5fa91767f6abd3c0d1e43b9d3dd8bd	583a663bb9d249d7754607bcea661d8564c0f2e142ccfa11e6bbc450fbc906a8	15	14	aquatic-paddle-bob-v1
088	grimer	00	none	normal	assets/pokemon-walksheets/dex-088__species-grimer__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-088__species-grimer__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	9	13a9cc55c1f6a3fefcc3a4880c90b993f7f68ecd1d9dcd5489864b0d24111623	306a3f98af1b801703730a5675c592ada82037672213bc8715482ce44c6eb9af	15	14	amorphous-ground-sway-v1
089	muk	00	none	normal	assets/pokemon-walksheets/dex-089__species-muk__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-089__species-muk__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	12	26466e39c14653d02b8293780458673cf98da80013db573146d43269b882ac7f	ba376b615a27247192108d34d6cb98b3b411cbc693b9fdc1ef6c3fd2f3f5cfa9	15	11	amorphous-ground-sway-v1
090	shellder	00	none	normal	assets/pokemon-walksheets/dex-090__species-shellder__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-090__species-shellder__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	3	eb3d8e32ab1ce63bf53b4a575d82846eb8e0194c8c3553bc05731114dce1ddde	8be66df573e045009f7a0afd11aa86fa67ca72f496637a57992bafa0a6a552f8	15	12	ground-hop-bounce-v1
091	cloyster	00	none	normal	assets/pokemon-walksheets/dex-091__species-cloyster__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-091__species-cloyster__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	15	664a04d985e76930de261d722030e0af788fd7880a5cde673104208a3a7a7a5d	3b740ff15ef51992216d6aa780a05d3eaee0aaac118d12466b13ffe8bfce7097	15	15	ground-hop-bounce-v1
092	gastly	00	none	normal	assets/pokemon-walksheets/dex-092__species-gastly__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-092__species-gastly__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	13	517d4c26a40427428a87d5025db92a3f6fdae0c525f2b4bd07999bb6aab46e4c	a0b1151634d309457a0954414a78ad6314e15db22093ad70a529d3fe58a38995	15	15	airborne-hover-bob-v1
093	haunter	00	none	normal	assets/pokemon-walksheets/dex-093__species-haunter__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-093__species-haunter__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	16	2ab0220f3306d5aa5508cede7ca3f886bf167a83fc88c250d16f49189d967430	27fe1e0dae66ec1a61d7d77c5b2f5cc4bc2c77a8a16312fab62dbda1dcfc715f	15	15	airborne-hover-bob-v1
094	gengar	00	none	normal	assets/pokemon-walksheets/dex-094__species-gengar__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-094__species-gengar__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	15	e6b407d9b97ad32d85d51dfa44a7968b1a7d1a2a2c7a3db6394b23d89de852d9	fdd59233d30873a90b8e707e04afada18678e50b748960a4d3d4422b2c1bcea0	15	16	terrestrial-biped-light-v1
095	onix	00	none	normal	assets/pokemon-walksheets/dex-095__species-onix__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-095__species-onix__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	88	c6474d9fddd2a170a4e62234e3b0a8e030cf3a71e37cc2ce0a0000184f04a321	24d10e32ffd9b87b1c78c1ed304a18ffa51b1c35a133ffc09a5931ac259b5908	15	16	terrestrial-serpentine-wave-v1
096	drowzee	00	none	normal	assets/pokemon-walksheets/dex-096__species-drowzee__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-096__species-drowzee__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	10	3effc53a61eddcd7056b05128bdf55de5cea2680bd4c5c0f26d78fbab15fc9b5	c170193f4b365dd313f9f99f1a070f772cad49ff5b6d4b0335e10615b3eb9ea7	15	16	terrestrial-biped-light-v1
097	hypno	00	female	normal	assets/pokemon-walksheets/dex-097__species-hypno__form-00__gender-female__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-097__species-hypno__form-00__gender-female__palette-normal__walk-3x4.png	pokemon_large	16	45f1050d5f7c4cabb4141c4ae7c6a17a0f249a15c0201cb5fdb9772ff99628d3	cb51c17de079473ee280a7943032cf03f3262de5689b5332928ee4efc2af3a48	15	16	terrestrial-biped-light-v1
097	hypno	00	male	normal	assets/pokemon-walksheets/dex-097__species-hypno__form-00__gender-male__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-097__species-hypno__form-00__gender-male__palette-normal__walk-3x4.png	pokemon_large	16	9a74f42be212e54e8736023f22692c84bed0a4b25476eb9fd07639def3e677a4	88750d0385e4d0358d49a5127a57a0e74efd28e67abb18dee85dad1659c90781	15	16	terrestrial-biped-light-v1
098	krabby	00	none	normal	assets/pokemon-walksheets/dex-098__species-krabby__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-098__species-krabby__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	4	0935db325bc7eff9b933f33f513fe9f2ecac648f37992a017ec8999b1aa4624f	92cb0967774c61b66cd5586eb88a4144e9296d1995f5a0107004003425270f76	15	16	terrestrial-multiped-crawl-v1
099	kingler	00	none	normal	assets/pokemon-walksheets/dex-099__species-kingler__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-099__species-kingler__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	13	69349c130de59d6b421d4485faa902cc28c3dffe80bbd7e43b4a3643ff39ca74	04137cfa8e798bfbeaa05f0717d36b8dd833fc42a1af636b7ba3e0abbb3a8f4f	15	15	terrestrial-multiped-crawl-v1
100	voltorb	00	none	normal	assets/pokemon-walksheets/dex-100__species-voltorb__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-100__species-voltorb__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	5	38cb7b9fc872b5f63aa2eeb6c3ddbb43326e0e22417c3e6496d1630df5c0d2b4	73236ee74d08677b3d99d739f7f59d3569b4493b88cfd8fb292ac6035a9b3b0c	15	15	ground-roll-rock-v1
101	electrode	00	none	normal	assets/pokemon-walksheets/dex-101__species-electrode__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-101__species-electrode__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_medium	12	44b3b6d06df2f82793c27171ff398827030c829f1afe0cb1f1ca1f58c1a04629	ca841b4e13058f3dda451a35f01180771343b15a2a1aecaf1edcfa8938577cd1	15	15	ground-roll-rock-v1
102	exeggcute	00	none	normal	assets/pokemon-walksheets/dex-102__species-exeggcute__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-102__species-exeggcute__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_small	4	ac66cd8925457c4a82664cdfccd7393bca22a8b5064a90b3c3c30144a3069851	adab7c3b96748ba05d041c677121bc46f1b7cc6bbab5e45d4ddef69a547fb3f3	15	7	ground-roll-rock-v1
103	exeggutor	00	none	normal	assets/pokemon-walksheets/dex-103__species-exeggutor__form-00__gender-none__palette-normal__walk-3x4.png	assets/pokemon-runtime/dex-103__species-exeggutor__form-00__gender-none__palette-normal__walk-3x4.png	pokemon_large	20	8bc4f2853500a8ec161a152cd1fcc1b39786cb84c892bd4eb56d60b3a5f97fd3	0e9222335ac0c8d7ca48dc1604cd7b698d46dfd494860c384e71a99c952147b6	15	14	terrestrial-biped-heavy-v1
